ubigeo,departamento,provincia,distrito,IASE_base,IASE_alt,clase_base,clase_alt,rank_base,rank_alt,rank_change,clase_change
210109,PUNO,PUNO,MAÃAZO,0.30718810584106865,0.4488773968568411,Bajo,Medio,560,564,-4,True
080706,CUSCO,CHUMBIVILCAS,LLUSCO,0.3071488182325831,0.4488184654441128,Bajo,Medio,561,566,-5,True
081003,CUSCO,PARURO,CCAPI,0.30713677177165133,0.4527686497209691,Bajo,Medio,562,543,19,True
040520,AREQUIPA,CAYLLOMA,MAJES,0.30704598023950086,0.4367943253420048,Bajo,Medio,563,634,-71,True
040810,AREQUIPA,LA UNION,TOMEPAMPA,0.30704483436254043,0.4605672515438107,Bajo,Medio,564,489,75,True
210702,PUNO,LAMPA,CABANILLA,0.30693061073676914,0.4484911542003919,Bajo,Medio,565,570,-5,True
120127,JUNIN,HUANCAYO,QUICHUAY,0.30667569042844417,0.45604528167441233,Bajo,Medio,566,521,45,True
050808,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,0.3063918038549658,0.4556194518141947,Bajo,Medio,567,525,42,True
030202,APURIMAC,ANDAHUAYLAS,ANDARAPA,0.3063081723367413,0.45549400453685795,Bajo,Medio,568,526,42,True
080404,CUSCO,CALCA,LARES,0.30628424081185035,0.44355334534475965,Bajo,Medio,569,593,-24,True
180209,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,0.30591295009048797,0.45490117116747797,Bajo,Medio,570,529,41,True
040501,AREQUIPA,CAYLLOMA,CHIVAY,0.3057848747329999,0.4463343276902308,Bajo,Medio,571,582,-11,True
040304,AREQUIPA,CARAVELI,ATIQUIPA,0.305564347902261,0.4504100139168836,Bajo,Medio,572,558,14,True
050606,AYACUCHO,LUCANAS,CHIPAO,0.3055036939346562,0.43841427106071446,Bajo,Medio,573,622,-49,True
081007,CUSCO,PARURO,PACCARITAMBO,0.30547563748981416,0.45424520226646725,Bajo,Medio,574,532,42,True
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,0.30547016484956546,0.4502687393378403,Bajo,Medio,575,559,16,True
210305,PUNO,CARABAYA,CORANI,0.30534664789920296,0.4381787020075346,Bajo,Medio,576,625,-49,True
050409,AYACUCHO,HUANTA,CANAYRE,0.3050519229895734,0.4496413765478522,Bajo,Medio,577,561,16,True
050613,AYACUCHO,LUCANAS,OTOCA,0.3050148560474906,0.44561752216647404,Bajo,Medio,578,588,-10,True
030713,APURIMAC,GRAU,VIRUNDO,0.3048398709501793,0.45329155245701497,Bajo,Medio,579,540,39,True
050704,AYACUCHO,PARINACOCHAS,PACAPAUSA,0.30475698098868276,0.4531672175147702,Bajo,Medio,580,541,39,True
110505,ICA,PISCO,PARACAS,0.3044912698106918,0.44880039677952976,Bajo,Medio,581,567,14,True
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,0.3044583837269425,0.4527193216221598,Bajo,Medio,582,544,38,True
080806,CUSCO,ESPINAR,PICHIGUA,0.3044108054533102,0.4486797002434574,Bajo,Medio,583,568,15,True
040103,AREQUIPA,AREQUIPA,CAYMA,0.30440846629687845,0.42883492166753995,Bajo,Medio,584,680,-96,True
210710,PUNO,LAMPA,VILAVILA,0.3042733171738757,0.4524417217925596,Bajo,Medio,585,546,39,True
090612,HUANCAVELICA,HUAYTARA,SAN ISIDRO,0.3042074142730547,0.45234286744132807,Bajo,Medio,586,548,38,True
050205,AYACUCHO,CANGALLO,PARAS,0.30418881173360873,0.4364419477591433,Bajo,Medio,587,636,-49,True
210307,PUNO,CARABAYA,ITUATA,0.3041719536087857,0.44038491454016265,Bajo,Medio,588,614,-26,True
080203,CUSCO,ACOMAYO,ACOS,0.30415029071665384,0.45225718210672683,Bajo,Medio,589,549,40,True
170302,MADRE DE DIOS,TAHUAMANU,IBERIA,0.3040737266097054,0.43588485953081757,Bajo,Medio,590,638,-48,True
170301,MADRE DE DIOS,TAHUAMANU,IÃAPARI,0.3036626343033599,0.43565268161376997,Bajo,Medio,591,641,-50,True
090113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,0.3034671015621049,0.4472641444066494,Bajo,Medio,592,576,16,True
090311,HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,0.3034301704346072,0.4511751262663765,Bajo,Medio,593,552,41,True
230405,TACNA,TARATA,SITAJARA,0.3033185833036722,0.4510096209872543,Bajo,Medio,594,553,41,True
210202,PUNO,AZANGARO,ACHAYA,0.3031899388515177,0.45081665430902257,Bajo,Medio,595,554,41,True
030210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,0.30317701617497367,0.4428607623576986,Bajo,Medio,596,596,0,True
210201,PUNO,AZANGARO,AZANGARO,0.30316017001945705,0.43821521908170324,Bajo,Medio,597,624,-27,True
210803,PUNO,MELGAR,CUPI,0.3030949698072147,0.4467059467743141,Bajo,Medio,598,579,19,True
051106,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,0.30294519906873835,0.4504495446348536,Bajo,Medio,599,557,42,True
230105,TACNA,TACNA,INCLAN,0.30290748006881857,0.44642471216672,Bajo,Medio,600,581,19,True
051009,AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,0.30281575874692973,0.44231887621563276,Bajo,Medio,601,601,0,True
050411,AYACUCHO,HUANTA,PUCACOLPA,0.30276749106441586,0.434309966755354,Bajo,Medio,602,646,-44,True
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,0.30274853432331905,0.43824978561196276,Bajo,Medio,603,623,-20,True
211210,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,0.3027180620859038,0.44217233122409383,Bajo,Medio,604,603,1,True
081105,CUSCO,PAUCARTAMBO,HUANCARANI,0.30256776214767017,0.4498833892532513,Bajo,Medio,605,560,45,True
051011,AYACUCHO,VICTOR FAJARDO,SARHUA,0.30243507527417396,0.4377795970382451,Bajo,Medio,606,629,-23,True
